Problem Size,Execution Time (s),Solution Found
2,0.010445356369018555,1
3,0.01465916633605957,1
4,0.011611223220825195,1
5,0.01562976837158203,1
6,0.017095327377319336,1
7,0.007604122161865234,1
8,0.010929107666015625,1
9,0.031102418899536133,1
10,0.10268950462341309,1
11,0.06168031692504883,1
12,0.0586857795715332,1
13,0.12682175636291504,1
14,0.16127419471740723,1
15,0.1264352798461914,1
16,0.34021592140197754,1
17,0.30241894721984863,1
18,0.7014975547790527,1
19,0.30205368995666504,1
20,0.3964517116546631,1
21,0.7067611217498779,1
22,1.1868884563446045,1
23,1.0763115882873535,1
24,1.4349939823150635,1
25,1.8583154678344727,1
26,1.7261111736297607,1
27,2.9371988773345947,1
28,2.9496278762817383,1
29,5.0458083152771,1
30,4.9380316734313965,1
31,5.093334913253784,1
32,6.348608016967773,1
33,7.716590404510498,1
34,7.524117469787598,1
35,9.734042644500732,1
36,13.364542722702026,1
37,16.550824642181396,1
38,15.751626014709473,1
39,18.02434277534485,1
40,29.424832344055176,1
41,27.25625991821289,1
42,22.501591444015503,1
43,23.658255338668823,1
44,42.33832144737244,1
45,60,0
