Problem Size,Execution Time (s),Plan Cost,Solution Found
2,2.303745985031128,84.0,1
7,2.7239232063293457,394.0,1
12,2.7686562538146973,836.0,1
17,2.4542768001556396,940.0,1
22,3.1260628700256348,1212.0,1
27,1.8666493892669678,1546.0,1
32,2.3484928607940674,1836.0,1
37,3.4959728717803955,2348.0,1
42,2.8311164379119873,2280.0,1
47,3.416555881500244,2682.0,1
52,3.7479729652404785,2808.0,1
57,3.8127825260162354,3290.0,1
62,4.304823160171509,3470.0,1
67,7.819223165512085,3628.0,1
72,6.515044450759888,3956.0,1
77,19.471429347991943,4204.0,1
82,10.150277614593506,4860.0,1
87,20.46363878250122,4848.0,1
92,32.94300365447998,4816.0,1
97,9.188706636428833,5298.0,1
102,44.00453329086304,5676.0,1
107,57.87908935546875,5762.0,1
112,19.39747953414917,6302.0,1
117,34.64226818084717,6146.0,1
122,60,N/A,0
127,60,N/A,0
