Complejidad,Personas,Localizaciones,Cajas,Goals,Tiempo de ejecución (s),Coste del plan,Solución encontrada
2,2,2,2,2,0.03993844985961914,70.006,1
3,3,3,3,3,0.09704279899597168,153.012,1
4,4,4,4,4,0.1665477752685547,221.016,1
5,5,5,5,5,0.34966301918029785,207.021,1
6,6,6,6,6,0.25404953956604004,351.029,1
7,7,7,7,7,0.5732612609863281,233.03,1
8,8,8,8,8,0.6096923351287842,596.037,1
9,9,9,9,9,1.1101889610290527,536.035,1
10,10,10,10,10,1.366384506225586,677.039,1
11,11,11,11,11,1.3839597702026367,538.048,1
12,12,12,12,12,1.9168767929077148,570.047,1
13,13,13,13,13,1.8015382289886475,862.052,1
14,14,14,14,14,2.271343469619751,651.049,1
15,15,15,15,15,2.9459524154663086,1127.054,1
16,16,16,16,16,3.2489116191864014,1101.076,1
17,17,17,17,17,4.0018181800842285,1276.064,1
18,18,18,18,18,5.377870321273804,993.06,1
19,19,19,19,19,6.588146209716797,1074.07,1
20,20,20,20,20,8.553258895874023,1519.081,1
21,21,21,21,21,7.545253276824951,1619.087,1
22,22,22,22,22,8.330942869186401,1007.073,1
23,23,23,23,23,10.25724744796753,1550.099,1
24,24,24,24,24,11.82754898071289,1779.099,1
25,25,25,25,25,16.303273916244507,1912.1,1
26,26,26,26,26,15.23494005203247,1307.091,1
27,27,27,27,27,16.956604719161987,1426.097,1
28,28,28,28,28,21.140114307403564,2429.124,1
29,29,29,29,29,22.552741527557373,1370.114,1
30,30,30,30,30,26.461397886276245,2219.131,1
31,31,31,31,31,28.45241093635559,1688.11,1
32,32,32,32,32,41.41832184791565,2003.136,1
33,33,33,33,33,40.56413912773132,2290.16,1
34,34,34,34,34,41.237120389938354,2143.131,1
35,35,35,35,35,46.46109366416931,2292.153,1
36,36,36,36,36,47.53051805496216,1521.129,1
37,37,37,37,37,60,N/A,0
