Problem Size,Execution Time (s),Solution Found
3,0.08489084243774414,1
4,0.4020838737487793,1
5,0.05637979507446289,1
6,0.10709714889526367,1
7,0.07433366775512695,1
8,0.08822417259216309,1
9,0.11901974678039551,1
10,0.09321427345275879,1
11,0.14190316200256348,1
12,0.14279913902282715,1
13,0.15981507301330566,1
14,0.1024942398071289,1
15,0.1426091194152832,1
16,0.354996919631958,1
17,0.12474846839904785,1
18,0.31551599502563477,1
19,0.6620519161224365,1
20,0.21326208114624023,1
21,0.12986421585083008,1
22,0.7420201301574707,1
23,0.31903672218322754,1
24,3.90789794921875,1
25,0.6785998344421387,1
26,0.837561845779419,1
27,1.6423962116241455,1
28,1.7473435401916504,1
29,2.1847360134124756,1
30,3.7658987045288086,1
31,2.1939280033111572,1
32,4.130539894104004,1
33,12.266387939453125,1
34,3.426617383956909,1
35,18.5715434551239,1
36,8.463928937911987,1
37,2.264268636703491,1
38,9.12385869026184,1
39,17.23655128479004,1
40,30.92887282371521,1
41,23.73703694343567,1
42,52.77761220932007,1
43,60,0
